ID,Latitude,Longitude
318,7.5,70.5
319,8.0,70.5
320,8.5,70.5
321,9.0,70.5
322,9.5,70.5
323,10.0,70.5
324,10.5,70.5
325,11.0,70.5
326,11.5,70.5
327,12.0,70.5
328,12.5,70.5
329,13.0,70.5
330,13.5,70.5
331,14.0,70.5
332,14.5,70.5
333,15.0,70.5
334,15.5,70.5
335,16.0,70.5
336,16.5,70.5
337,17.0,70.5
338,17.5,70.5
339,18.0,70.5
340,18.5,70.5
341,19.0,70.5
342,19.5,70.5
343,20.0,70.5
344,20.5,70.5
345,21.0,70.5
346,21.5,70.5
347,22.0,70.5
348,22.5,70.5
349,23.0,70.5
350,23.5,70.5
351,24.0,70.5
352,24.5,70.5
353,25.0,70.5
354,25.5,70.5
355,26.0,70.5
356,26.5,70.5
357,27.0,70.5
358,27.5,70.5
359,28.0,70.5
360,28.5,70.5
361,29.0,70.5
362,29.5,70.5
363,30.0,70.5
364,30.5,70.5
365,31.0,70.5
366,31.5,70.5
367,32.0,70.5
368,32.5,70.5
369,33.0,70.5
370,33.5,70.5
371,34.0,70.5
372,34.5,70.5
373,35.0,70.5
374,35.5,70.5
375,36.0,70.5
376,36.5,70.5
377,37.0,70.5
378,6.0,71.0
379,6.5,71.0
380,7.0,71.0
381,7.5,71.0
382,8.0,71.0
383,8.5,71.0
384,9.0,71.0
385,9.5,71.0
386,10.0,71.0
387,10.5,71.0
388,11.0,71.0
389,11.5,71.0
390,12.0,71.0
391,12.5,71.0
392,13.0,71.0
393,13.5,71.0
394,14.0,71.0
395,14.5,71.0
396,15.0,71.0
397,15.5,71.0
398,16.0,71.0
399,16.5,71.0
400,17.0,71.0
401,17.5,71.0
402,18.0,71.0
403,18.5,71.0
404,19.0,71.0
405,19.5,71.0
406,20.0,71.0
407,20.5,71.0
408,21.0,71.0
409,21.5,71.0
410,22.0,71.0
411,22.5,71.0
412,23.0,71.0
413,23.5,71.0
414,24.0,71.0
415,24.5,71.0
416,25.0,71.0
417,25.5,71.0
418,26.0,71.0
419,26.5,71.0
420,27.0,71.0
421,27.5,71.0
422,28.0,71.0
423,28.5,71.0
424,29.0,71.0
425,29.5,71.0
426,30.0,71.0
427,30.5,71.0
428,31.0,71.0
429,31.5,71.0
430,32.0,71.0
431,32.5,71.0
432,33.0,71.0
433,33.5,71.0
434,34.0,71.0
435,34.5,71.0
436,35.0,71.0
437,35.5,71.0
438,36.0,71.0
439,36.5,71.0
440,37.0,71.0
441,6.0,71.5
442,6.5,71.5
443,7.0,71.5
444,7.5,71.5
445,8.0,71.5
446,8.5,71.5
447,9.0,71.5
448,9.5,71.5
449,10.0,71.5
450,10.5,71.5
451,11.0,71.5
452,11.5,71.5
453,12.0,71.5
454,12.5,71.5
455,13.0,71.5
456,13.5,71.5
457,14.0,71.5
458,14.5,71.5
459,15.0,71.5
460,15.5,71.5
461,16.0,71.5
462,16.5,71.5
463,17.0,71.5
464,17.5,71.5
465,18.0,71.5
466,18.5,71.5
467,19.0,71.5
468,19.5,71.5
469,20.0,71.5
470,20.5,71.5
471,21.0,71.5
472,21.5,71.5
473,22.0,71.5
474,22.5,71.5
475,23.0,71.5
476,23.5,71.5
477,24.0,71.5
478,24.5,71.5
479,25.0,71.5
480,25.5,71.5
481,26.0,71.5
482,26.5,71.5
483,27.0,71.5
484,27.5,71.5
485,28.0,71.5
486,28.5,71.5
487,29.0,71.5
488,29.5,71.5
489,30.0,71.5
490,30.5,71.5
491,31.0,71.5
492,31.5,71.5
493,32.0,71.5
494,32.5,71.5
495,33.0,71.5
496,33.5,71.5
497,34.0,71.5
498,34.5,71.5
499,35.0,71.5
500,35.5,71.5
501,36.0,71.5
502,36.5,71.5
503,37.0,71.5
504,6.0,72.0
505,6.5,72.0
506,7.0,72.0
507,7.5,72.0
508,8.0,72.0
509,8.5,72.0
510,9.0,72.0
511,9.5,72.0
512,10.0,72.0
513,10.5,72.0
514,11.0,72.0
515,11.5,72.0
516,12.0,72.0
517,12.5,72.0
518,13.0,72.0
519,13.5,72.0
520,14.0,72.0
521,14.5,72.0
522,15.0,72.0
523,15.5,72.0
524,16.0,72.0
525,16.5,72.0
526,17.0,72.0
527,17.5,72.0
528,18.0,72.0
529,18.5,72.0
530,19.0,72.0
531,19.5,72.0
532,20.0,72.0
533,20.5,72.0
534,21.0,72.0
535,21.5,72.0
536,22.0,72.0
537,22.5,72.0
538,23.0,72.0
539,23.5,72.0
540,24.0,72.0
541,24.5,72.0
542,25.0,72.0
543,25.5,72.0
544,26.0,72.0
545,26.5,72.0
546,27.0,72.0
547,27.5,72.0
548,28.0,72.0
549,28.5,72.0
550,29.0,72.0
551,29.5,72.0
552,30.0,72.0
553,30.5,72.0
554,31.0,72.0
555,31.5,72.0
556,32.0,72.0
557,32.5,72.0
558,33.0,72.0
559,33.5,72.0
560,34.0,72.0
561,34.5,72.0
562,35.0,72.0
563,35.5,72.0
564,36.0,72.0
565,36.5,72.0
566,37.0,72.0
567,6.0,72.5
568,6.5,72.5
569,7.0,72.5
570,7.5,72.5
571,8.0,72.5
572,8.5,72.5
573,9.0,72.5
574,9.5,72.5
575,10.0,72.5
576,10.5,72.5
577,11.0,72.5
578,11.5,72.5
579,12.0,72.5
580,12.5,72.5
581,13.0,72.5
582,13.5,72.5
583,14.0,72.5
584,14.5,72.5
585,15.0,72.5
586,15.5,72.5
587,16.0,72.5
588,16.5,72.5
589,17.0,72.5
590,17.5,72.5
591,18.0,72.5
592,18.5,72.5
593,19.0,72.5
594,19.5,72.5
595,20.0,72.5
596,20.5,72.5
597,21.0,72.5
598,21.5,72.5
599,22.0,72.5
600,22.5,72.5
601,23.0,72.5
602,23.5,72.5
603,24.0,72.5
604,24.5,72.5
605,25.0,72.5
606,25.5,72.5
607,26.0,72.5
608,26.5,72.5
609,27.0,72.5
610,27.5,72.5
611,28.0,72.5
612,28.5,72.5
613,29.0,72.5
614,29.5,72.5
615,30.0,72.5
616,30.5,72.5
617,31.0,72.5
618,31.5,72.5
619,32.0,72.5
620,32.5,72.5
621,33.0,72.5
622,33.5,72.5
623,34.0,72.5
624,34.5,72.5
625,35.0,72.5
626,35.5,72.5
627,36.0,72.5
628,36.5,72.5
629,37.0,72.5
630,6.0,73.0
631,6.5,73.0
632,7.0,73.0
633,7.5,73.0
634,8.0,73.0
635,8.5,73.0
636,9.0,73.0
637,9.5,73.0
638,10.0,73.0
639,10.5,73.0
640,11.0,73.0
641,11.5,73.0
642,12.0,73.0
643,12.5,73.0
644,13.0,73.0
645,13.5,73.0
646,14.0,73.0
647,14.5,73.0
648,15.0,73.0
649,15.5,73.0
650,16.0,73.0
651,16.5,73.0
652,17.0,73.0
653,17.5,73.0
654,18.0,73.0
655,18.5,73.0
656,19.0,73.0
657,19.5,73.0
658,20.0,73.0
659,20.5,73.0
660,21.0,73.0
661,21.5,73.0
662,22.0,73.0
663,22.5,73.0
664,23.0,73.0
665,23.5,73.0
666,24.0,73.0
667,24.5,73.0
668,25.0,73.0
669,25.5,73.0
670,26.0,73.0
671,26.5,73.0
672,27.0,73.0
673,27.5,73.0
674,28.0,73.0
675,28.5,73.0
676,29.0,73.0
677,29.5,73.0
678,30.0,73.0
679,30.5,73.0
680,31.0,73.0
681,31.5,73.0
682,32.0,73.0
683,32.5,73.0
684,33.0,73.0
685,33.5,73.0
686,34.0,73.0
687,34.5,73.0
688,35.0,73.0
689,35.5,73.0
690,36.0,73.0
691,36.5,73.0
692,37.0,73.0
693,6.0,73.5
694,6.5,73.5
695,7.0,73.5
696,7.5,73.5
697,8.0,73.5
698,8.5,73.5
699,9.0,73.5
700,9.5,73.5
701,10.0,73.5
702,10.5,73.5
703,11.0,73.5
704,11.5,73.5
705,12.0,73.5
706,12.5,73.5
707,13.0,73.5
708,13.5,73.5
709,14.0,73.5
710,14.5,73.5
711,15.0,73.5
712,15.5,73.5
713,16.0,73.5
714,16.5,73.5
715,17.0,73.5
716,17.5,73.5
717,18.0,73.5
718,18.5,73.5
719,19.0,73.5
720,19.5,73.5
721,20.0,73.5
722,20.5,73.5
723,21.0,73.5
724,21.5,73.5
725,22.0,73.5
726,22.5,73.5
727,23.0,73.5
728,23.5,73.5
